Revenue Passenger-miles (the number of passengers and the distance flown in thousands (000)) (All U.S. Carriers - All Airports ),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"39,065,248","13,558,478","52,623,726"
2002,11,"36,348,009","12,166,413","48,514,422"
2002,12,"41,361,303","13,388,093","54,749,396"
2002,TOTAL,"469,964,132","164,417,076","634,381,208"
2003,1,"36,211,422","12,885,980","49,097,402"
2003,2,"34,148,439","10,715,468","44,863,907"
2003,3,"41,774,564","12,567,068","54,341,633"
2003,4,"39,465,980","10,370,592","49,836,572"
2003,5,"41,001,934","11,575,026","52,576,960"
2003,6,"44,492,972","13,918,185","58,411,157"
2003,7,"48,321,924","15,516,794","63,838,718"
2003,8,"46,982,527","15,906,430","62,888,957"
2003,9,"36,819,820","13,570,889","50,390,709"
2003,10,"41,480,412","13,447,446","54,927,858"
2003,11,"39,333,528","12,817,176","52,150,704"
2003,12,"42,699,596","13,929,565","56,629,161"
2003,TOTAL,"492,733,117","157,220,620","649,953,737"
2004,1,"38,114,607","13,515,639","51,630,246"
2004,2,"38,575,084","12,153,432","50,728,516"
2004,3,"46,507,739","14,735,428","61,243,168"
2004,4,"45,795,662","14,338,191","60,133,853"
2004,5,"45,350,262","15,388,457","60,738,719"
2004,6,"49,774,219","17,006,831","66,781,050"
2004,7,"52,730,292","18,182,782","70,913,074"
2004,8,"50,816,430","17,760,431","68,576,861"
2004,9,"40,644,161","15,247,819","55,891,980"
2004,10,"45,765,588","15,384,002","61,149,590"
2004,11,"43,561,708","14,118,725","57,680,434"
2004,12,"45,181,080","15,523,403","60,704,483"
2004,TOTAL,"542,816,834","183,355,139","726,171,973"
2005,1,"41,609,095","15,580,719","57,189,815"
2005,2,"40,114,944","13,470,430","53,585,374"
2005,3,"50,789,921","17,293,704","68,083,625"
2005,4,"47,002,623","16,218,686","63,221,309"
2005,5,"49,016,422","17,394,296","66,410,718"
2005,6,"52,181,786","18,750,411","70,932,197"
2005,7,"55,290,372","20,037,449","75,327,821"
2005,8,"52,510,003","19,205,090","71,715,093"
2005,9,"43,524,915","16,631,990","60,156,904"
2005,10,"45,895,538","16,089,364","61,984,902"
2005,11,"45,109,831","14,771,787","59,881,618"
2005,12,"46,190,194","16,339,078","62,529,273"
2005,TOTAL,"569,235,644","201,783,004","771,018,648"
2006,1,"42,966,268","16,157,877","59,124,144"
2006,2,"40,927,215","13,913,445","54,840,660"
2006,3,"50,693,391","18,095,206","68,788,597"
2006,4,"48,800,883","17,685,346","66,486,229"
2006,5,"49,302,219","18,465,819","67,768,038"
2006,6,"52,200,272","20,275,368","72,475,640"
2006,7,"54,506,446","21,510,904","76,017,350"
2006,8,"52,074,386","20,342,613","72,416,999"
2006,9,"43,108,587","17,537,122","60,645,709"
2006,10,"47,137,132","17,365,868","64,503,000"
2006,11,"45,966,808","16,115,237","62,082,045"
2006,12,"46,835,639","17,704,637","64,540,276"
2006,TOTAL,"574,519,244","215,169,442","789,688,686"
2007,1,"43,823,680","17,450,335","61,274,015"
2007,2,"41,270,274","15,087,982","56,358,256"
2007,3,"51,518,429","19,346,351","70,864,780"
2007,4,"49,772,604","18,462,964","68,235,568"
2007,5,"51,031,835","19,341,759","70,373,594"
2007,6,"54,018,698","21,325,672","75,344,370"
2007,7,"56,572,990","22,709,269","79,282,259"
2007,8,"55,682,567","22,060,730","77,743,296"
2007,9,"45,240,419","18,994,703","64,235,122"
2007,10,"49,069,269","18,762,030","67,831,299"
2007,11,"47,256,388","17,508,412","64,764,800"
2007,12,"47,070,645","19,121,625","66,192,270"
2007,TOTAL,"592,327,797","230,171,832","822,499,629"
2008,1,"44,233,383","18,682,398","62,915,780"
2008,2,"43,429,251","16,602,844","60,032,096"
2008,3,"52,016,986","20,818,061","72,835,047"
2008,4,"48,189,445","19,238,317","67,427,762"
2008,5,"50,259,912","20,972,031","71,231,943"
2008,6,"52,521,309","22,207,049","74,728,358"
2008,7,"54,621,353","23,555,952","78,177,305"
2008,8,"52,643,145","23,162,473","75,805,618"
2008,9,"41,015,589","18,737,440","59,753,028"
2008,10,"44,913,078","18,507,570","63,420,648"
2008,11,"40,578,576","16,552,513","57,131,088"
2008,12,"43,824,845","18,277,979","62,102,823"
2008,TOTAL,"568,246,871","237,314,626","805,561,497"
2009,1,"39,299,677","17,528,664","56,828,341"
2009,2,"37,640,543","14,607,464","52,248,007"
2009,3,"46,517,762","18,128,641","64,646,403"
2009,4,"45,419,272","18,450,057","63,869,329"
2009,5,"45,980,480","18,545,191","64,525,671"
2009,6,"49,290,277","20,784,769","70,075,046"
2009,7,"52,704,797","22,969,194","75,673,991"
2009,8,"50,467,288","22,619,720","73,087,008"
2009,9,"41,656,736","18,400,287","60,057,023"
2009,10,"44,781,574","18,053,025","62,834,599"
2009,11,"41,573,015","16,087,062","57,660,077"
2009,12,"43,650,676","18,175,003","61,825,679"
2009,TOTAL,"538,982,097","224,349,076","763,331,173"
2010,1,"40,301,481","17,841,075","58,142,556"
2010,2,"36,997,641","14,973,899","51,971,540"
2010,3,"47,619,591","19,146,484","66,766,075"
2010,4,"45,662,025","17,935,164","63,597,189"
2010,5,"46,953,589","20,542,809","67,496,398"
2010,6,"50,387,611","22,717,510","73,105,121"
2010,7,"53,095,873","24,587,686","77,683,559"
2010,8,"51,439,492","23,775,852","75,215,344"
2010,9,"43,694,603","20,411,172","64,105,775"
2010,10,"47,283,497","20,434,096","67,717,592"
2010,11,"44,351,331","17,630,685","61,982,017"
2010,12,"45,067,192","19,358,086","64,425,278"
2010,TOTAL,"552,853,924","239,354,518","792,208,443"
2011,1,"41,187,426","19,013,720","60,201,146"
2011,2,"38,285,134","15,742,124","54,027,258"
2011,3,"48,992,221","19,689,006","68,681,228"
2011,4,"46,567,364","19,768,711","66,336,076"
2011,5,"49,026,667","21,312,827","70,339,494"
2011,6,"51,552,204","23,096,822","74,649,026"
2011,7,"54,459,007","25,415,397","79,874,404"
2011,8,"51,570,688","24,132,052","75,702,739"
2011,9,"44,580,290","20,488,322","65,068,612"
2011,10,"46,972,407","19,893,658","66,866,065"
2011,11,"44,780,150","17,325,552","62,105,702"
2011,12,"45,673,434","19,339,617","65,013,051"
2011,TOTAL,"563,646,993","245,217,808","808,864,801"
2012,1,"41,673,200","18,915,701","60,588,901"
2012,2,"40,440,608","16,583,021","57,023,629"
2012,3,"49,693,743","20,638,910","70,332,653"
2012,4,"47,240,808","20,120,006","67,360,814"
2012,5,"49,075,103","21,625,365","70,700,468"
2012,6,"51,958,863","23,588,863","75,547,726"
2012,7,"54,239,648","24,933,954","79,173,602"
2012,8,"52,870,434","24,375,248","77,245,683"
2012,9,"43,861,215","20,931,047","64,792,261"
2012,10,"46,661,129","19,851,567","66,512,697"
2012,11,"45,148,868","17,774,579","62,923,447"
2012,12,"45,818,778","19,607,025","65,425,803"
2012,TOTAL,"568,682,398","248,945,286","817,627,683"
2013,1,"42,716,886","19,226,952","61,943,838"
2013,2,"40,360,477","16,726,427","57,086,904"
2013,3,"50,591,912","21,085,987","71,677,898"
2013,4,"47,323,331","20,045,084","67,368,414"
2013,5,"50,124,875","22,377,482","72,502,358"
2013,6,"52,826,886","24,553,427","77,380,313"
2013,7,"54,754,440","26,042,187","80,796,627"
2013,8,"53,123,226","25,714,167","78,837,393"
2013,9,"44,654,213","21,483,923","66,138,136"
2013,10,"47,859,063","20,748,717","68,607,779"
2013,11,"44,420,301","18,154,243","62,574,544"
2013,12,"49,132,863","20,735,571","69,868,434"
2013,TOTAL,"577,888,473","256,894,166","834,782,639"
2014,1,"43,564,242","20,028,742","63,592,984"
2014,2,"40,543,404","16,936,813","57,480,217"
2014,3,"51,862,069","21,310,134","73,172,203"
2014,4,"49,245,719","21,103,585","70,349,305"
2014,5,"51,524,009","23,291,494","74,815,503"
2014,6,"53,979,753","25,120,695","79,100,448"
2014,7,"56,874,287","26,435,210","83,309,497"
2014,8,"54,640,338","26,231,520","80,871,859"
2014,9,"46,336,496","21,739,193","68,075,689"
2014,10,"50,112,975","20,835,706","70,948,681"
2014,11,"46,352,174","18,524,898","64,877,072"
2014,12,"50,303,173","21,132,922","71,436,095"
2014,TOTAL,"595,338,640","262,690,913","858,029,553"
2015,1,"45,137,552","20,498,038","65,635,591"
2015,2,"42,248,126","17,238,321","59,486,447"
2015,3,"53,924,945","21,511,252","75,436,197"
2015,4,"51,883,045","20,959,421","72,842,466"
2015,5,"54,255,235","23,490,547","77,745,782"
2015,6,"56,994,796","25,448,026","82,442,822"
2015,7,"60,430,804","27,573,804","88,004,608"
2015,8,"57,819,107","27,156,489","84,975,596"
2015,9,"49,857,937","22,404,240","72,262,177"
2015,10,"54,074,370","21,786,470","75,860,840"
2015,11,"50,913,042","18,876,704","69,789,747"
2015,12,"53,118,963","21,432,815","74,551,779"
2015,TOTAL,"630,657,922","268,376,127","899,034,049"
2016,1,"48,074,919","20,930,267","69,005,186"
2016,2,"46,460,173","17,857,305","64,317,478"
2016,3,"56,704,006","21,722,335","78,426,341"
2016,4,"53,623,641","21,272,344","74,895,985"
2016,5,"57,131,517","23,417,723","80,549,240"
2016,6,"60,278,319","26,042,153","86,320,472"
2016,7,"62,349,210","28,079,998","90,429,208"
2016,8,"59,282,098","26,662,752","85,944,849"
2016,9,"52,660,625","22,480,586","75,141,211"
2016,10,"55,320,059","21,775,573","77,095,632"
2016,11,"53,280,610","18,805,494","72,086,104"
2016,12,"54,812,269","22,001,650","76,813,919"
2016,TOTAL,"659,977,447","271,048,180","931,025,627"
2017,1,"50,136,641","21,167,951","71,304,592"
2017,2,"46,484,888","17,661,922","64,146,810"
2017,3,"58,791,439","21,913,330","80,704,768"
2017,4,"56,302,475","23,057,928","79,360,403"
2017,5,"59,016,272","24,399,847","83,416,119"
2017,6,"62,468,942","27,079,807","89,548,749"
2017,7,"65,035,199","28,958,608","93,993,807"
2017,8,"62,520,253","27,802,659","90,322,912"
2017,9,"51,871,547","22,667,597","74,539,144"
2017,10,"58,257,900","22,261,064","80,518,965"
2017,11,"55,883,966","19,680,722","75,564,688"
2017,12,"56,980,320","22,548,282","79,528,602"
2017,TOTAL,"683,749,842","279,199,717","962,949,559"
2018,1,"51,716,868","21,549,127","73,265,996"
2018,2,"49,452,398","18,674,644","68,127,042"
2018,3,"61,707,206","23,793,520","85,500,726"
2018,4,"59,340,837","23,106,823","82,447,659"
2018,5,"62,580,568","25,356,444","87,937,012"
2018,6,"66,095,829","28,194,872","94,290,701"
2018,7,"69,091,745","29,716,690","98,808,435"
2018,8,"66,132,022","28,638,849","94,770,872"
2018,9,"55,431,352","23,604,682","79,036,033"
2018,10,"61,011,629","23,294,709","84,306,338"
2018,11,"58,779,361","20,613,643","79,393,004"
2018,12,"59,477,976","23,210,813","82,688,789"
2018,TOTAL,"720,817,791","289,754,817","1,010,572,608"
2019,1,"54,357,953","22,507,073","76,865,026"
2019,2,"51,406,118","19,291,164","70,697,283"
2019,3,"65,407,750","24,488,323","89,896,073"
2019,4,"61,953,253","24,174,894","86,128,147"
2019,5,"65,811,129","26,667,148","92,478,276"
2019,6,"68,413,114","29,322,269","97,735,383"
2019,7,"71,276,327","30,447,264","101,723,592"
2019,8,"68,147,755","29,802,655","97,950,411"
2019,9,"58,213,654","25,083,576","83,297,229"
2019,10,"63,323,789","24,290,255","87,614,044"
2019,11,"59,158,778","21,330,058","80,488,836"
2019,12,"65,288,156","24,636,021","89,924,177"
2019,TOTAL,"752,757,777","302,040,699","1,054,798,477"
2020,1,"57,630,793","23,379,227","81,010,020"
2020,2,"55,336,180","18,527,496","73,863,676"
2020,3,"32,526,583","10,229,636","42,756,218"
2020,4,"2,551,127","356,762","2,907,889"
2020,5,"6,658,185","479,069","7,137,255"
2020,6,"13,912,064","894,089","14,806,153"
2020,7,"20,061,944","1,982,897","22,044,841"
2020,8,"20,942,793","2,622,253","23,565,046"
2020,9,"20,474,546","2,589,214","23,063,760"
2020,10,"24,425,708","3,433,101","27,858,809"
2020,11,"23,711,619","4,238,353","27,949,973"
2020,12,"25,075,790","5,750,942","30,826,732"
2020,TOTAL,"303,307,334","74,483,037","377,790,371"
2021,1,"22,357,660","5,434,809","27,792,470"
2021,2,"22,477,641","3,840,749","26,318,389"
2021,3,"36,803,729","5,865,177","42,668,906"
2021,TOTAL,"81,639,030","15,140,735","96,779,765"
,,,,
Note: All numbers are for scheduled services. Details may not add due to rounding.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Segment data.,,,,
