Revenue Passenger-miles (the number of passengers and the distance flown in thousands (000)) (United Air Lines - All Airports ),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"5,468,552","3,420,170","8,888,722"
2002,11,"4,913,182","3,123,800","8,036,981"
2002,12,"5,826,271","3,401,489","9,227,760"
2002,TOTAL,"66,050,121","40,788,429","106,838,550"
2003,1,"5,036,957","3,244,510","8,281,468"
2003,2,"4,652,618","2,582,588","7,235,207"
2003,3,"5,579,275","2,928,777","8,508,052"
2003,4,"5,291,172","2,061,464","7,352,636"
2003,5,"5,457,101","2,326,031","7,783,133"
2003,6,"5,965,333","2,945,565","8,910,899"
2003,7,"6,463,890","3,255,914","9,719,805"
2003,8,"6,286,155","3,442,881","9,729,036"
2003,9,"4,918,784","3,217,067","8,135,851"
2003,10,"5,393,564","3,303,343","8,696,907"
2003,11,"5,039,800","3,180,032","8,219,832"
2003,12,"5,592,229","3,358,109","8,950,338"
2003,TOTAL,"65,676,879","35,846,284","101,523,163"
2004,1,"4,958,768","3,214,201","8,172,970"
2004,2,"4,943,338","2,878,770","7,822,109"
2004,3,"5,922,975","3,419,885","9,342,859"
2004,4,"6,005,299","3,197,289","9,202,588"
2004,5,"6,085,232","3,334,650","9,419,881"
2004,6,"6,736,985","3,655,457","10,392,442"
2004,7,"7,045,245","3,696,660","10,741,905"
2004,8,"6,996,836","3,696,924","10,693,760"
2004,9,"5,621,649","3,440,610","9,062,259"
2004,10,"5,975,110","3,393,360","9,368,470"
2004,11,"5,331,061","3,224,771","8,555,832"
2004,12,"5,661,346","3,526,809","9,188,155"
2004,TOTAL,"71,283,843","40,679,386","111,963,229"
2005,1,"5,062,527","3,549,785","8,612,312"
2005,2,"4,672,709","3,028,973","7,701,683"
2005,3,"5,742,017","3,857,941","9,599,959"
2005,4,"5,312,927","3,543,396","8,856,323"
2005,5,"5,715,640","3,794,645","9,510,285"
2005,6,"6,233,408","4,051,833","10,285,241"
2005,7,"6,398,312","4,074,981","10,473,294"
2005,8,"6,176,000","4,042,994","10,218,995"
2005,9,"5,251,781","3,673,257","8,925,038"
2005,10,"5,558,379","3,680,012","9,238,391"
2005,11,"5,318,121","3,374,544","8,692,665"
2005,12,"5,602,902","3,610,180","9,213,082"
2005,TOTAL,"67,044,725","44,282,541","111,327,267"
2006,1,"5,210,563","3,597,995","8,808,558"
2006,2,"4,991,165","3,046,941","8,038,106"
2006,3,"6,074,339","3,847,701","9,922,040"
2006,4,"5,897,093","3,705,100","9,602,194"
2006,5,"6,059,573","3,888,976","9,948,549"
2006,6,"6,387,878","4,147,279","10,535,157"
2006,7,"6,625,071","4,219,485","10,844,556"
2006,8,"6,292,118","4,076,960","10,369,078"
2006,9,"5,352,700","3,703,716","9,056,416"
2006,10,"5,765,685","3,708,772","9,474,456"
2006,11,"5,386,904","3,549,442","8,936,346"
2006,12,"5,447,589","3,715,823","9,163,412"
2006,TOTAL,"69,490,679","45,208,189","114,698,868"
2007,1,"5,310,625","3,705,838","9,016,463"
2007,2,"4,884,559","3,122,301","8,006,860"
2007,3,"6,134,043","3,980,429","10,114,473"
2007,4,"5,934,996","3,776,921","9,711,917"
2007,5,"6,004,346","4,036,850","10,041,196"
2007,6,"6,254,623","4,304,928","10,559,551"
2007,7,"6,369,350","4,389,538","10,758,888"
2007,8,"6,370,598","4,309,999","10,680,597"
2007,9,"5,107,924","3,927,409","9,035,333"
2007,10,"5,535,540","3,927,201","9,462,741"
2007,11,"5,184,783","3,660,691","8,845,474"
2007,12,"5,085,683","4,012,794","9,098,477"
2007,TOTAL,"68,177,070","47,154,899","115,331,969"
2008,1,"4,642,915","3,922,660","8,565,575"
2008,2,"4,627,283","3,367,386","7,994,669"
2008,3,"5,698,795","4,191,055","9,889,849"
2008,4,"5,358,311","3,795,105","9,153,417"
2008,5,"5,555,673","4,110,630","9,666,303"
2008,6,"5,955,533","4,252,943","10,208,476"
2008,7,"6,070,225","4,288,995","10,359,220"
2008,8,"5,934,899","4,231,944","10,166,843"
2008,9,"4,631,948","3,583,811","8,215,759"
2008,10,"4,955,597","3,587,846","8,543,443"
2008,11,"4,240,446","3,097,728","7,338,173"
2008,12,"4,601,628","3,441,569","8,043,197"
2008,TOTAL,"62,273,251","45,871,673","108,144,924"
2009,1,"4,170,387","3,288,960","7,459,347"
2009,2,"3,989,682","2,601,163","6,590,845"
2009,3,"4,990,701","3,297,640","8,288,341"
2009,4,"4,761,610","3,381,999","8,143,609"
2009,5,"4,803,513","3,456,239","8,259,752"
2009,6,"5,297,987","3,861,821","9,159,807"
2009,7,"5,544,837","4,104,149","9,648,986"
2009,8,"5,415,819","4,104,198","9,520,016"
2009,9,"4,369,568","3,561,753","7,931,320"
2009,10,"4,723,025","3,521,149","8,244,174"
2009,11,"4,216,980","3,068,219","7,285,199"
2009,12,"4,434,773","3,388,967","7,823,740"
2009,TOTAL,"56,718,883","41,636,256","98,355,139"
2010,1,"4,290,729","3,361,683","7,652,412"
2010,2,"3,839,273","2,689,848","6,529,121"
2010,3,"4,863,510","3,459,156","8,322,666"
2010,4,"4,637,074","3,284,971","7,922,045"
2010,5,"4,762,783","3,911,490","8,674,273"
2010,6,"5,124,134","4,156,050","9,280,183"
2010,7,"5,336,092","4,314,344","9,650,436"
2010,8,"5,317,550","4,266,071","9,583,620"
2010,9,"4,445,195","3,951,372","8,396,566"
2010,10,"4,797,862","3,896,524","8,694,387"
2010,11,"4,360,023","3,289,987","7,650,010"
2010,12,"4,376,408","3,655,025","8,031,433"
2010,TOTAL,"56,150,633","44,236,520","100,387,152"
2011,1,"3,974,575","3,528,506","7,503,081"
2011,2,"3,694,058","2,808,000","6,502,058"
2011,3,"4,590,165","3,459,643","8,049,808"
2011,4,"4,348,383","3,602,851","7,951,234"
2011,5,"4,476,890","4,017,126","8,494,017"
2011,6,"4,970,369","4,177,370","9,147,739"
2011,7,"5,240,396","4,413,107","9,653,503"
2011,8,"5,012,380","4,307,624","9,320,004"
2011,9,"4,145,094","3,935,522","8,080,616"
2011,10,"4,287,064","3,858,907","8,145,971"
2011,11,"3,874,019","3,290,456","7,164,475"
2011,12,"4,183,599","3,592,852","7,776,451"
2011,TOTAL,"52,796,993","44,991,964","97,788,957"
2012,1,"6,651,569","6,621,544","13,273,113"
2012,2,"6,483,060","5,745,090","12,228,149"
2012,3,"7,969,524","7,212,886","15,182,410"
2012,4,"7,753,390","7,099,281","14,852,671"
2012,5,"8,003,513","7,682,388","15,685,901"
2012,6,"8,614,201","8,026,140","16,640,341"
2012,7,"8,857,074","8,369,966","17,227,041"
2012,8,"8,769,540","8,152,784","16,922,324"
2012,9,"7,051,468","7,136,981","14,188,449"
2012,10,"7,348,367","6,720,749","14,069,116"
2012,11,"6,911,664","6,088,204","12,999,869"
2012,12,"7,245,573","6,694,325","13,939,898"
2012,TOTAL,"91,658,942","85,550,338","177,209,281"
2013,1,"6,684,510","6,672,413","13,356,923"
2013,2,"6,200,365","5,548,798","11,749,163"
2013,3,"7,728,740","7,179,256","14,907,995"
2013,4,"7,305,136","6,881,171","14,186,307"
2013,5,"7,795,617","7,674,167","15,469,784"
2013,6,"8,372,975","8,167,953","16,540,928"
2013,7,"8,560,389","8,459,556","17,019,945"
2013,8,"8,515,374","8,372,258","16,887,633"
2013,9,"7,062,933","7,235,877","14,298,810"
2013,10,"7,534,295","6,935,077","14,469,372"
2013,11,"6,957,383","6,086,064","13,043,447"
2013,12,"7,675,428","6,782,248","14,457,676"
2013,TOTAL,"90,393,145","85,994,839","176,387,984"
2014,1,"6,618,191","6,575,209","13,193,399"
2014,2,"6,101,749","5,591,805","11,693,554"
2014,3,"7,749,640","7,213,514","14,963,154"
2014,4,"7,269,812","7,077,305","14,347,117"
2014,5,"7,830,572","7,970,090","15,800,663"
2014,6,"8,266,280","8,378,986","16,645,266"
2014,7,"8,566,275","8,733,310","17,299,585"
2014,8,"8,358,185","8,606,641","16,964,826"
2014,9,"7,053,367","7,303,912","14,357,278"
2014,10,"7,565,496","7,071,611","14,637,107"
2014,11,"6,768,175","6,331,773","13,099,947"
2014,12,"7,481,931","7,069,280","14,551,211"
2014,TOTAL,"89,629,672","87,923,436","177,553,107"
2015,1,"6,539,633","6,843,473","13,383,106"
2015,2,"6,083,359","5,759,176","11,842,535"
2015,3,"7,739,688","7,372,627","15,112,315"
2015,4,"7,422,213","7,075,882","14,498,095"
2015,5,"8,065,660","7,910,631","15,976,291"
2015,6,"8,615,067","8,460,975","17,076,041"
2015,7,"8,996,014","9,102,326","18,098,340"
2015,8,"8,621,688","8,866,361","17,488,048"
2015,9,"7,412,978","7,297,049","14,710,028"
2015,10,"8,179,546","7,158,579","15,338,125"
2015,11,"7,387,882","6,405,433","13,793,316"
2015,12,"7,827,233","7,163,455","14,990,688"
2015,TOTAL,"92,890,961","89,415,967","182,306,929"
2016,1,"6,617,756","6,829,873","13,447,629"
2016,2,"6,383,051","5,804,141","12,187,192"
2016,3,"7,812,827","7,106,563","14,919,390"
2016,4,"7,471,337","6,832,089","14,303,426"
2016,5,"8,186,607","7,652,403","15,839,010"
2016,6,"8,753,164","8,650,961","17,404,126"
2016,7,"9,092,288","9,359,132","18,451,420"
2016,8,"8,931,001","8,809,933","17,740,934"
2016,9,"7,978,482","7,499,122","15,477,604"
2016,10,"8,392,220","7,242,008","15,634,227"
2016,11,"7,722,929","6,475,791","14,198,720"
2016,12,"8,153,823","7,429,044","15,582,867"
2016,TOTAL,"95,495,484","89,691,060","185,186,545"
2017,1,"7,117,049","7,069,846","14,186,895"
2017,2,"6,517,389","5,740,520","12,257,909"
2017,3,"8,475,624","7,099,855","15,575,479"
2017,4,"8,260,703","7,324,499","15,585,202"
2017,5,"8,802,852","7,724,542","16,527,394"
2017,6,"9,592,747","8,700,114","18,292,862"
2017,7,"10,074,371","9,407,858","19,482,229"
2017,8,"9,586,047","8,872,041","18,458,087"
2017,9,"7,941,168","7,466,890","15,408,058"
2017,10,"8,820,649","7,127,279","15,947,928"
2017,11,"8,366,581","6,683,035","15,049,616"
2017,12,"8,560,100","7,502,494","16,062,594"
2017,TOTAL,"102,115,280","90,718,973","192,834,252"
2018,1,"7,273,716","7,170,008","14,443,724"
2018,2,"6,794,631","6,177,636","12,972,267"
2018,3,"8,738,414","7,907,957","16,646,372"
2018,4,"8,898,533","7,478,977","16,377,510"
2018,5,"9,389,683","8,174,125","17,563,808"
2018,6,"10,219,056","9,278,100","19,497,157"
2018,7,"10,831,425","9,824,070","20,655,495"
2018,8,"10,376,589","9,327,406","19,703,995"
2018,9,"8,620,613","7,740,558","16,361,170"
2018,10,"9,399,278","7,811,112","17,210,390"
2018,11,"8,816,716","7,294,309","16,111,026"
2018,12,"9,035,129","8,107,970","17,143,098"
2018,TOTAL,"108,393,785","96,292,226","204,686,012"
2019,1,"7,850,839","7,640,621","15,491,460"
2019,2,"7,264,211","6,447,387","13,711,599"
2019,3,"9,637,967","8,144,049","17,782,017"
2019,4,"9,357,143","7,998,916","17,356,058"
2019,5,"9,820,087","8,888,603","18,708,690"
2019,6,"10,500,473","9,691,058","20,191,530"
2019,7,"10,930,448","9,910,296","20,840,744"
2019,8,"10,400,714","9,653,082","20,053,796"
2019,9,"8,551,909","8,325,108","16,877,016"
2019,10,"9,409,424","8,140,106","17,549,530"
2019,11,"8,521,892","7,567,648","16,089,540"
2019,12,"9,621,425","8,667,401","18,288,826"
2019,TOTAL,"111,866,532","101,074,274","212,940,806"
2020,1,"8,294,755","8,052,302","16,347,056"
2020,2,"7,736,103","5,961,625","13,697,728"
2020,3,"4,513,728","3,310,799","7,824,527"
2020,4,"229,099","121,496","350,595"
2020,5,"501,236","193,560","694,795"
2020,6,"838,579","310,911","1,149,490"
2020,7,"1,518,114","558,424","2,076,538"
2020,8,"2,163,994","913,671","3,077,665"
2020,9,"2,206,478","888,846","3,095,324"
2020,10,"3,209,891","1,075,326","4,285,217"
2020,11,"3,170,282","1,364,648","4,534,930"
2020,12,"3,356,191","1,852,770","5,208,960"
2020,TOTAL,"37,738,448","24,604,377","62,342,826"
2021,1,"2,798,343",,
2021,2,"2,668,988",,
2021,3,"4,238,797",,
2021,TOTAL,"9,706,129",0,0
,,,,
Note: All numbers are for scheduled services. Details may not add due to rounding.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Segment data.,,,,
