Revenue Passenger-miles (the number of passengers and the distance flown in thousands (000)) (Delta Air Lines - All Airports ),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"5,904,082","1,997,636","7,901,718"
2002,11,"5,471,145","1,674,572","7,145,717"
2002,12,"6,167,157","1,714,144","7,881,300"
2002,TOTAL,"71,139,443","23,512,346","94,651,789"
2003,1,"5,401,199","1,605,825","7,007,024"
2003,2,"4,985,764","1,256,870","6,242,634"
2003,3,"5,926,067","1,556,456","7,482,523"
2003,4,"5,269,285","1,373,104","6,642,389"
2003,5,"5,455,220","1,557,675","7,012,895"
2003,6,"6,001,880","1,930,992","7,932,872"
2003,7,"6,428,528","2,080,484","8,509,012"
2003,8,"6,340,679","2,106,144","8,446,823"
2003,9,"5,021,464","1,889,135","6,910,598"
2003,10,"5,804,640","1,815,454","7,620,094"
2003,11,"5,473,482","1,646,562","7,120,044"
2003,12,"5,894,158","1,772,599","7,666,757"
2003,TOTAL,"68,002,366","20,591,299","88,593,664"
2004,1,"5,289,995","1,615,081","6,905,076"
2004,2,"5,257,576","1,353,987","6,611,563"
2004,3,"6,270,417","1,789,501","8,059,918"
2004,4,"6,064,842","1,971,982","8,036,824"
2004,5,"6,109,087","2,165,943","8,275,030"
2004,6,"6,745,778","2,464,548","9,210,325"
2004,7,"7,128,122","2,538,790","9,666,912"
2004,8,"6,720,924","2,415,836","9,136,760"
2004,9,"5,266,401","2,183,442","7,449,843"
2004,10,"6,127,967","2,067,964","8,195,930"
2004,11,"5,960,217","1,814,007","7,774,224"
2004,12,"6,080,286","2,029,623","8,109,909"
2004,TOTAL,"73,021,612","24,410,702","97,432,315"
2005,1,"5,810,566","1,955,744","7,766,310"
2005,2,"5,606,251","1,632,834","7,239,086"
2005,3,"6,993,262","2,246,516","9,239,777"
2005,4,"6,399,972","2,212,711","8,612,683"
2005,5,"6,563,739","2,499,622","9,063,360"
2005,6,"6,952,172","2,651,713","9,603,885"
2005,7,"7,478,734","2,776,477","10,255,211"
2005,8,"7,140,574","2,607,592","9,748,166"
2005,9,"5,601,580","2,392,819","7,994,399"
2005,10,"5,688,900","2,222,265","7,911,165"
2005,11,"5,620,285","1,927,141","7,547,426"
2005,12,"5,532,042","2,174,875","7,706,917"
2005,TOTAL,"75,388,078","27,300,308","102,688,386"
2006,1,"5,165,378","2,052,368","7,217,746"
2006,2,"4,758,339","1,697,609","6,455,948"
2006,3,"6,030,385","2,467,313","8,497,698"
2006,4,"5,476,931","2,494,200","7,971,131"
2006,5,"5,146,193","2,841,582","7,987,775"
2006,6,"5,968,657","3,487,021","9,455,678"
2006,7,"6,348,220","3,681,283","10,029,503"
2006,8,"5,953,651","3,352,301","9,305,952"
2006,9,"4,733,617","2,938,327","7,671,945"
2006,10,"5,230,044","2,781,345","8,011,389"
2006,11,"5,051,368","2,415,223","7,466,592"
2006,12,"5,153,526","2,787,245","7,940,771"
2006,TOTAL,"65,016,309","32,995,819","98,012,127"
2007,1,"4,773,388","2,691,371","7,464,759"
2007,2,"4,401,427","2,228,999","6,630,426"
2007,3,"5,680,945","3,060,924","8,741,869"
2007,4,"5,309,928","2,934,319","8,244,246"
2007,5,"5,262,652","3,212,573","8,475,226"
2007,6,"5,969,767","3,916,362","9,886,129"
2007,7,"6,319,504","4,183,809","10,503,312"
2007,8,"6,168,821","3,913,546","10,082,368"
2007,9,"4,926,408","3,337,729","8,264,137"
2007,10,"5,283,826","3,196,284","8,480,110"
2007,11,"4,962,759","2,817,908","7,780,667"
2007,12,"4,949,536","3,219,139","8,168,675"
2007,TOTAL,"64,008,961","38,712,963","102,721,924"
2008,1,"4,648,566","2,970,477","7,619,043"
2008,2,"4,547,170","2,509,305","7,056,474"
2008,3,"5,527,034","3,411,391","8,938,425"
2008,4,"5,045,039","3,397,930","8,442,969"
2008,5,"5,025,328","3,869,092","8,894,421"
2008,6,"5,569,306","4,449,748","10,019,053"
2008,7,"5,887,750","4,825,353","10,713,102"
2008,8,"5,575,714","4,608,446","10,184,160"
2008,9,"4,635,601","3,767,809","8,403,410"
2008,10,"4,949,324","3,579,047","8,528,370"
2008,11,"4,576,206","3,052,068","7,628,274"
2008,12,"4,866,365","3,530,615","8,396,980"
2008,TOTAL,"60,853,402","43,971,280","104,824,682"
2009,1,"4,449,064","3,189,464","7,638,527"
2009,2,"4,067,939","2,438,710","6,506,649"
2009,3,"4,855,465","3,174,613","8,030,079"
2009,4,"4,717,312","3,289,145","8,006,457"
2009,5,"4,745,393","3,505,302","8,250,695"
2009,6,"5,107,820","4,341,033","9,448,854"
2009,7,"5,562,337","4,879,672","10,442,009"
2009,8,"5,379,245","4,617,367","9,996,613"
2009,9,"4,383,292","3,837,860","8,221,151"
2009,10,"4,672,697","3,654,482","8,327,179"
2009,11,"4,304,823","2,989,975","7,294,799"
2009,12,"4,426,430","3,488,448","7,914,879"
2009,TOTAL,"56,671,818","43,406,072","100,077,889"
2010,1,"6,587,570","5,022,501","11,610,071"
2010,2,"6,178,286","4,259,061","10,437,347"
2010,3,"7,983,759","5,481,135","13,464,894"
2010,4,"7,589,737","5,093,260","12,682,997"
2010,5,"7,769,093","6,062,429","13,831,522"
2010,6,"8,632,986","7,294,801","15,927,787"
2010,7,"9,069,606","7,781,259","16,850,865"
2010,8,"8,745,773","7,561,078","16,306,851"
2010,9,"7,381,933","6,425,838","13,807,771"
2010,10,"7,878,388","6,281,818","14,160,206"
2010,11,"7,122,134","5,179,823","12,301,956"
2010,12,"7,105,218","5,665,388","12,770,606"
2010,TOTAL,"92,044,482","72,108,392","164,152,874"
2011,1,"6,529,950","5,438,987","11,968,937"
2011,2,"6,257,665","4,441,228","10,698,893"
2011,3,"8,062,924","5,601,981","13,664,905"
2011,4,"7,525,821","5,653,144","13,178,965"
2011,5,"7,939,830","6,189,622","14,129,452"
2011,6,"8,391,822","7,286,429","15,678,251"
2011,7,"9,028,945","7,937,420","16,966,365"
2011,8,"8,590,193","7,719,758","16,309,950"
2011,9,"7,390,589","6,236,830","13,627,419"
2011,10,"7,726,902","5,807,228","13,534,129"
2011,11,"7,257,723","4,735,850","11,993,573"
2011,12,"7,063,516","5,374,933","12,438,448"
2011,TOTAL,"91,765,879","72,423,408","164,189,287"
2012,1,"6,534,000","5,189,123","11,723,123"
2012,2,"6,353,667","4,491,649","10,845,316"
2012,3,"8,084,268","5,806,742","13,891,010"
2012,4,"7,672,028","5,609,877","13,281,905"
2012,5,"7,849,846","6,277,606","14,127,451"
2012,6,"8,587,095","7,271,887","15,858,982"
2012,7,"9,045,048","7,574,082","16,619,130"
2012,8,"8,887,589","7,572,193","16,459,782"
2012,9,"7,269,093","6,412,136","13,681,229"
2012,10,"7,797,540","5,911,914","13,709,454"
2012,11,"7,363,061","4,933,609","12,296,670"
2012,12,"7,144,308","5,480,343","12,624,650"
2012,TOTAL,"92,587,543","72,531,159","165,118,702"
2013,1,"6,708,141","5,199,321","11,907,462"
2013,2,"6,316,804","4,550,577","10,867,381"
2013,3,"8,296,549","5,839,741","14,136,290"
2013,4,"7,708,816","5,640,924","13,349,740"
2013,5,"7,999,983","6,470,036","14,470,019"
2013,6,"8,637,589","7,482,236","16,119,826"
2013,7,"9,170,355","7,915,497","17,085,852"
2013,8,"9,026,730","8,013,316","17,040,046"
2013,9,"7,386,712","6,625,509","14,012,222"
2013,10,"7,828,257","6,159,740","13,987,997"
2013,11,"7,048,664","5,074,631","12,123,294"
2013,12,"7,795,266","5,824,906","13,620,172"
2013,TOTAL,"93,923,867","74,796,433","168,720,300"
2014,1,"6,946,212","5,573,571","12,519,783"
2014,2,"6,516,165","4,677,979","11,194,144"
2014,3,"8,762,361","6,039,761","14,802,122"
2014,4,"8,406,548","5,951,636","14,358,183"
2014,5,"8,729,558","6,738,297","15,467,855"
2014,6,"9,136,367","7,664,210","16,800,577"
2014,7,"9,745,064","7,967,527","17,712,591"
2014,8,"9,573,765","8,220,996","17,794,762"
2014,9,"7,974,416","7,002,108","14,976,524"
2014,10,"8,567,052","6,282,567","14,849,620"
2014,11,"7,737,248","5,186,862","12,924,111"
2014,12,"8,128,965","5,938,472","14,067,437"
2014,TOTAL,"100,223,721","77,243,987","177,467,708"
2015,1,"7,349,458","5,792,055","13,141,513"
2015,2,"7,098,437","4,810,400","11,908,836"
2015,3,"9,224,266","6,172,123","15,396,389"
2015,4,"8,777,710","6,117,043","14,894,752"
2015,5,"9,242,245","6,983,906","16,226,152"
2015,6,"9,816,846","7,807,504","17,624,350"
2015,7,"10,388,742","8,401,512","18,790,254"
2015,8,"10,212,115","8,511,696","18,723,811"
2015,9,"8,445,098","7,067,199","15,512,296"
2015,10,"9,171,126","6,387,649","15,558,775"
2015,11,"8,474,939","5,153,967","13,628,906"
2015,12,"8,636,194","5,798,714","14,434,908"
2015,TOTAL,"106,837,177","79,003,768","185,840,944"
2016,1,"7,957,176","5,865,240","13,822,416"
2016,2,"7,722,067","4,954,847","12,676,914"
2016,3,"9,644,050","6,044,195","15,688,245"
2016,4,"9,141,302","6,218,789","15,360,091"
2016,5,"9,776,320","7,010,693","16,787,013"
2016,6,"10,207,591","7,972,090","18,179,682"
2016,7,"10,648,388","8,439,891","19,088,279"
2016,8,"10,081,262","8,124,042","18,205,304"
2016,9,"8,840,392","6,875,792","15,716,185"
2016,10,"9,346,211","6,211,653","15,557,864"
2016,11,"8,847,710","4,907,438","13,755,148"
2016,12,"9,016,191","5,853,457","14,869,648"
2016,TOTAL,"111,228,660","78,478,129","189,706,790"
2017,1,"8,195,822","5,752,770","13,948,592"
2017,2,"7,740,279","4,838,045","12,578,323"
2017,3,"10,035,786","6,173,892","16,209,678"
2017,4,"9,182,428","6,597,737","15,780,165"
2017,5,"10,101,920","7,135,916","17,237,836"
2017,6,"10,614,438","8,203,231","18,817,669"
2017,7,"11,205,988","8,552,718","19,758,706"
2017,8,"11,098,526","8,520,422","19,618,948"
2017,9,"8,874,954","7,061,515","15,936,470"
2017,10,"9,854,269","6,540,487","16,394,756"
2017,11,"9,151,972","5,208,503","14,360,476"
2017,12,"8,994,133","5,954,069","14,948,202"
2017,TOTAL,"115,050,516","80,539,305","195,589,820"
2018,1,"8,326,490","5,827,087","14,153,577"
2018,2,"8,170,388","5,048,854","13,219,241"
2018,3,"10,504,705","6,606,866","17,111,571"
2018,4,"9,892,678","6,627,253","16,519,930"
2018,5,"10,465,289","7,399,312","17,864,600"
2018,6,"11,236,120","8,291,150","19,527,270"
2018,7,"11,991,789","8,720,402","20,712,191"
2018,8,"11,803,439","8,687,917","20,491,357"
2018,9,"9,504,636","7,169,074","16,673,709"
2018,10,"10,249,932","6,722,219","16,972,151"
2018,11,"9,730,669","5,428,414","15,159,083"
2018,12,"9,782,092","6,098,410","15,880,502"
2018,TOTAL,"121,658,226","82,626,956","204,285,183"
2019,1,"9,065,735","5,976,703","15,042,438"
2019,2,"8,533,062","5,162,847","13,695,909"
2019,3,"11,342,854","6,708,765","18,051,619"
2019,4,"10,700,708","6,857,499","17,558,206"
2019,5,"11,454,034","7,755,631","19,209,665"
2019,6,"12,304,731","8,574,704","20,879,435"
2019,7,"13,005,057","8,901,170","21,906,227"
2019,8,"12,649,908","8,981,125","21,631,033"
2019,9,"10,413,301","7,533,842","17,947,143"
2019,10,"11,015,607","7,018,007","18,033,614"
2019,11,"9,982,616","5,627,460","15,610,076"
2019,12,"11,038,355","6,397,670","17,436,025"
2019,TOTAL,"131,505,969","85,495,422","217,001,391"
2020,1,"10,142,414","6,365,803","16,508,217"
2020,2,"9,689,523","5,046,379","14,735,903"
2020,3,"5,442,619","2,633,775","8,076,394"
2020,4,"435,156","138,493","573,649"
2020,5,"791,674","118,574","910,248"
2020,6,"1,455,783","218,715","1,674,498"
2020,7,"2,407,669","424,508","2,832,177"
2020,8,"3,068,565","608,433","3,676,998"
2020,9,"3,082,658","603,722","3,686,380"
2020,10,"3,512,886","764,606","4,277,492"
2020,11,"3,426,198","860,443","4,286,642"
2020,12,"3,641,061","1,208,713","4,849,775"
2020,TOTAL,"47,096,208","18,992,165","66,088,373"
2021,1,"3,603,046",,
2021,2,"3,666,261",,
2021,3,"5,393,820",,
2021,TOTAL,"12,663,127",0,0
,,,,
Note: All numbers are for scheduled services. Details may not add due to rounding.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Segment data.,,,,
