Load Factor (passenger-miles as a proportion of available seat-miles in percent (%)) (All U.S. Carriers - All Airports ),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,67.93,72.6,69.08
2002,11,66.68,69.92,67.46
2002,12,72.93,74.53,73.31
2002,TOTAL,70.42,76,71.78
2003,1,64.44,71.71,66.2
2003,2,68.18,68.74,68.31
2003,3,72.53,70.79,72.12
2003,4,72.23,66.78,71.02
2003,5,74.08,74.06,74.07
2003,6,78.67,80.96,79.2
2003,7,81.05,82.97,81.51
2003,8,78.78,83.08,79.83
2003,9,66.98,76.15,69.22
2003,10,71.52,76,72.56
2003,11,70.51,76.29,71.85
2003,12,72.57,78.93,74.03
2003,TOTAL,72.75,75.78,73.46
2004,1,65.37,75.14,67.67
2004,2,68.66,71.82,69.39
2004,3,75.21,80.25,76.37
2004,4,76.24,77.68,76.58
2004,5,74.44,77.55,75.2
2004,6,80.76,83.55,81.45
2004,7,82.27,83.67,82.62
2004,8,78.81,82.07,79.63
2004,9,70.45,78.19,72.4
2004,10,74.29,77.37,75.04
2004,11,73.3,74.91,73.69
2004,12,72.81,76.64,73.75
2004,TOTAL,74.53,78.43,75.48
2005,1,69.84,75.74,71.35
2005,2,71.68,72.22,71.82
2005,3,79.68,81.57,80.15
2005,4,76.72,77.27,76.86
2005,5,77.61,79.27,78.04
2005,6,82.33,83.81,82.72
2005,7,84.01,84.22,84.07
2005,8,80.4,82.01,80.83
2005,9,74.18,77.63,75.1
2005,10,76,76.49,76.12
2005,11,76.6,76.14,76.49
2005,12,75.86,77.24,76.22
2005,TOTAL,77.23,78.83,77.64
2006,1,72.71,75.52,73.45
2006,2,76.17,72.31,75.15
2006,3,81.43,80.9,81.29
2006,4,81.45,79.5,80.92
2006,5,80.45,79.93,80.31
2006,6,84.61,85.11,84.75
2006,7,85.02,85.41,85.13
2006,8,80.95,81.74,81.17
2006,9,73.84,77.67,74.91
2006,10,77.52,76.65,77.29
2006,11,78.03,77.4,77.86
2006,12,76.58,77.92,76.94
2006,TOTAL,79.17,79.39,79.23
2007,1,72.29,76,73.31
2007,2,75.74,73.16,75.03
2007,3,81.6,81.74,81.64
2007,4,81.43,79.15,80.8
2007,5,81.29,79.37,80.75
2007,6,86.26,84.3,85.7
2007,7,86.28,85.29,86
2007,8,84.94,83.17,84.43
2007,9,75.66,79.53,76.76
2007,10,78.51,79.12,78.68
2007,11,77.72,78.09,77.82
2007,12,75.59,78.39,76.38
2007,TOTAL,79.91,79.97,79.93
2008,1,72.95,76.33,73.92
2008,2,75.96,72.72,75.04
2008,3,82.24,82.3,82.26
2008,4,80.14,77.22,79.29
2008,5,81.36,79.94,80.93
2008,6,84.27,82.99,83.88
2008,7,84.18,83.79,84.06
2008,8,83.4,82.93,83.26
2008,9,76.09,77.89,76.64
2008,10,79.78,77.75,79.17
2008,11,75.92,74.23,75.42
2008,12,79.16,76.89,78.48
2008,TOTAL,79.78,78.98,79.54
2009,1,72.84,73.07,72.91
2009,2,75.33,68.59,73.32
2009,3,81.14,75.18,79.37
2009,4,82.16,77.14,80.65
2009,5,81.37,75.98,79.75
2009,6,85.4,81.78,84.29
2009,7,87.12,85,86.46
2009,8,85.02,84.82,84.96
2009,9,79.43,80.6,79.78
2009,10,82.24,82,82.17
2009,11,79.21,78.04,78.88
2009,12,79.9,81.41,80.34
2009,TOTAL,81.1,78.83,80.41
2010,1,74.92,77.27,75.62
2010,2,77.37,74.3,76.46
2010,3,83.43,80.84,82.67
2010,4,82.6,79.39,81.67
2010,5,82.52,81.91,82.34
2010,6,86.35,85.94,86.22
2010,7,86.94,86.74,86.88
2010,8,85.22,85.61,85.35
2010,9,79.84,83.71,81.03
2010,10,83.35,82.51,83.09
2010,11,81.22,78.4,80.4
2010,12,80.84,80.47,80.73
2010,TOTAL,82.21,81.74,82.07
2011,1,76.55,76.43,76.51
2011,2,77.96,70.93,75.78
2011,3,82.74,76.48,80.85
2011,4,82.15,77.79,80.8
2011,5,84.57,81.56,83.64
2011,6,85.98,84.84,85.63
2011,7,87.15,86.49,86.94
2011,8,85.6,85.64,85.61
2011,9,81.83,82.13,81.92
2011,10,83.64,80.22,82.59
2011,11,83.48,78.4,82
2011,12,81.08,79.96,80.74
2011,TOTAL,82.88,80.35,82.1
2012,1,78,76.75,77.61
2012,2,78.92,71.55,76.62
2012,3,84.45,79.91,83.06
2012,4,83.62,80.3,82.6
2012,5,84.46,81.64,83.58
2012,6,86.63,86.51,86.59
2012,7,86.85,86.32,86.68
2012,8,86.64,86.36,86.55
2012,9,80.65,83.74,81.62
2012,10,84.26,81.62,83.45
2012,11,82.81,79.61,81.88
2012,12,81.55,81.17,81.44
2012,TOTAL,83.38,81.52,82.8
2013,1,78.92,78.75,78.86
2013,2,80.8,75.52,79.18
2013,3,85.02,82.57,84.28
2013,4,82.83,78.77,81.58
2013,5,84.86,82.89,84.24
2013,6,86.99,86.94,86.98
2013,7,86.48,87.09,86.68
2013,8,85.55,87.26,86.1
2013,9,80.86,83.43,81.68
2013,10,82.73,81.14,82.24
2013,11,80.09,77.52,79.33
2013,12,85.08,82.88,84.41
2013,TOTAL,83.48,82.36,83.13
2014,1,80.65,79.62,80.32
2014,2,82.12,74.89,79.85
2014,3,85.47,79.26,83.57
2014,4,84.91,80.11,83.41
2014,5,86.29,82.39,85.04
2014,6,87.4,84.44,86.44
2014,7,87.81,84.55,86.74
2014,8,86.91,85.66,86.5
2014,9,82.07,81.8,81.99
2014,10,84.1,79.91,82.83
2014,11,81.39,76.17,79.83
2014,12,83.46,80.74,82.64
2014,TOTAL,84.51,81.06,83.43
2015,1,79.22,78.76,79.07
2015,2,82.43,75.17,80.19
2015,3,85.79,79.46,83.88
2015,4,84.89,77.06,82.48
2015,5,85.58,80.82,84.09
2015,6,87.37,84.37,86.42
2015,7,88.15,85.86,87.42
2015,8,86.65,86.03,86.45
2015,9,83.78,81.44,83.04
2015,10,86.45,81.67,85.02
2015,11,84.2,78.07,82.45
2015,12,83.99,80.24,82.88
2015,TOTAL,85.01,81.03,83.78
2016,1,80.57,79.49,80.23
2016,2,80.85,73.79,78.76
2016,3,85.31,79.35,83.57
2016,4,84.08,77.19,82
2016,5,85.85,79.26,83.83
2016,6,87.61,84.47,86.64
2016,7,87.17,86.03,86.81
2016,8,84.72,84.28,84.59
2016,9,84.25,81.14,83.29
2016,10,85.41,80.14,83.85
2016,11,84.73,78.84,83.11
2016,12,83.43,81.13,82.76
2016,TOTAL,84.6,80.68,83.42
2017,1,79.48,79.25,79.41
2017,2,80.93,74.25,78.98
2017,3,85.53,78.65,83.54
2017,4,85.21,80.78,83.87
2017,5,85.74,80.12,84.01
2017,6,87.17,84.88,86.46
2017,7,86.94,85.98,86.64
2017,8,85.37,85.79,85.5
2017,9,82.18,80.53,81.67
2017,10,85.66,78.66,83.61
2017,11,85.78,78.61,83.79
2017,12,83.51,80.72,82.7
2017,TOTAL,84.58,80.98,83.51
2018,1,78.88,78.7,78.83
2018,2,81.79,75.95,80.1
2018,3,86.09,82.35,85.02
2018,4,84.34,79.53,82.93
2018,5,85.36,81.45,84.2
2018,6,87.75,86.79,87.46
2018,7,88.12,86.96,87.77
2018,8,86.2,86.16,86.19
2018,9,80.89,80.07,80.64
2018,10,84.69,80.11,83.37
2018,11,85.07,80.24,83.76
2018,12,82.76,81.51,82.41
2018,TOTAL,84.47,81.93,83.72
2019,1,79.06,79.96,79.32
2019,2,81.85,77.06,80.49
2019,3,86.46,83.01,85.49
2019,4,85.65,82.16,84.64
2019,5,87.3,83.46,86.16
2019,6,89.29,87.81,88.84
2019,7,89,87.61,88.58
2019,8,86.29,87.51,86.66
2019,9,82.4,82.59,82.45
2019,10,84.54,82.4,83.94
2019,11,82.03,80.96,81.74
2019,12,85.73,84.55,85.4
2019,TOTAL,85.11,83.53,84.65
2020,1,79.57,81.39,80.09
2020,2,80.79,76.19,79.58
2020,3,50.06,58.35,51.83
2020,4,13.09,23.15,13.83
2020,5,38.61,27.43,37.59
2020,6,56.16,34.75,54.15
2020,7,49.8,36.18,48.17
2020,8,49.09,36.94,47.35
2020,9,57.06,35.55,53.43
2020,10,60.47,38.65,56.54
2020,11,54.54,41.55,52.07
2020,12,55.63,46.72,53.72
2020,TOTAL,58.88,58.33,58.77
2021,1,52.83,42.05,50.31
2021,2,59.26,35.02,53.83
2021,3,68.49,43.42,63.45
2021,TOTAL,60.93,40.49,56.47
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Segment data.,,,,
